Code,Map Unit,Name,Age,Region,PageSource,Description,Generalized 
68,|<yqm,"Pelitic schist, including Chena River sequence",Devonian and older,EC,117,,METAMORPHIC ROCKS
69,DSsm,"Shallow-marine, carbonate-dominated rocks",Devonian and Silurian,CN;SE,62-64;70,"DSld—Shallow-marine, carbonate-dominated rocks; Dlse—Carbonate rocks of southeast Alaska; DSt—Tolovana Limestone; Sl—Limestone, southeast Alaska",SEDIMENTARY ROCKS
70,DSld,"Shallow-marine, carbonate-dominated rocks",Devonian and Silurian?,CN,62,,SEDIMENTARY ROCKS
71,Dlse,Carbonate rocks of southeast Alaska,Devonian,SE,63,,SEDIMENTARY ROCKS
72,DSt,Tolovana Limestone,"Middle Devonian to Silurian, Llandovery?",CN,64,,SEDIMENTARY ROCKS
73,Dof,Ogilvie Formation,Middle to Lower Devonian,CN,64,,SEDIMENTARY ROCKS
74,Sl,"Limestone, southeast Alaska",Silurian,SE,70,,SEDIMENTARY ROCKS
75,DSum,Older ultramafic rocks of southeast Alaska,Devonian and Silurian,SE,108,,INTRUSIVE ROCKS
76,DSv,"Basalt, andesite, and sedimentary rocks",Devonian,SE,87-88,Dfr—Freshwater Bay and Port Refugio Formations; Dmv—Mixed volcanic rocks of southeast Alaska; Sv—Volcanic rocks in southeast Alaska,VOLCANIC ROCKS
77,Dfr,Freshwater Bay and Port Refugio Formations,Late Devonian,SE,87,,VOLCANIC ROCKS
78,Dmv,Mixed volcanic rocks of southeast Alaska,Middle to Early Devonian,SE,87,,VOLCANIC ROCKS
79,Sv,Volcanic rocks in southeast Alaska,Silurian,SE,88,,VOLCANIC ROCKS
80,Dvec,Woodchopper Volcanics and Schwatka unit of Weber and others (1992),Devonian,EC,87,,VOLCANIC ROCKS
81,DZwp,Farewell platform facies,"Upper Devonian, Frasnian, to Neoproterozoic",SW,61,"DSwc—Whirlwind Creek Formation and correlative units; Ols—Lime mudstone; _Zls—Dolostone, limestone, orthoquartzite, and minor chert",SEDIMENTARY ROCKS
82,DSwc,Whirlwind Creek Formation and correlative units,"Upper Devonian, Frasnian, through Silurian, Ludlow",SW,61,,SEDIMENTARY ROCKS
83,Ols,Lime mudstone,Ordovician,SW,61,,SEDIMENTARY ROCKS
84,_Zls,"Dolostone, limestone, orthoquartzite, and minor chert",Cambrian and Neoproterozoic?,"SW, WC",62,,SEDIMENTARY ROCKS
85,DZyf,Clastic and carbonate rocks of the Yukon Flats Basin,Devonian to Neoproterozoic?,EC;CN;NE,57-58,"Dnr—Nation River Formation; Dcr—Cascaden Ridge and Beaver Bend combined correlative units; Dq—Quail unit of Weber and others (1992); Dyp—Phyllite, slate, and black shale; Dyss—Clastic and calcareous clastic rocks; |pr—Older clastic strata of the Porcupine River sequence of Brosgé and Reiser (1969); DZkb—Older carbonate strata of the Porcupine River se- quence of Brosgé and Reiser (1969) and equivalent units",SEDIMENTARY ROCKS
86,Dnr,Nation River Formation,Upper and Middle? Devonian,EC,57,,SEDIMENTARY ROCKS
87,Dcr,Cascaden Ridge and Beaver Bend combined correlative units,Devonian,CN,57,,SEDIMENTARY ROCKS
88,Dq,Quail unit of Weber and others (1992),Upper Devonian,CN,57,,SEDIMENTARY ROCKS
89,Dyp,"Phyllite, slate, and black shale",Devonian?,NE,57,,SEDIMENTARY ROCKS
90,Dyss,Clastic and calcareous clastic rocks,Devonian,NE,58,,SEDIMENTARY ROCKS
91,|pr,Older clastic strata of the Porcupine River sequence of Brosgé and Reiser (1969),Lower Paleozoic,NE,58,,SEDIMENTARY ROCKS
92,DZkb,Older carbonate strata of the Porcupine River se- quence of Brosgé and Reiser (1969) and equivalent units,Middle Devonian to Neoproterozoic?,"CN, NE",58,,SEDIMENTARY ROCKS
93,DZyk,Sedimentary and metasedimentary rocks of York terrane,Lower Devonian to Ordovician,SP,67-68,"|gp—Phyllite and argillite, Grantley Harbor Fault Zone; DSyl—Limestone of the Seward Peninsula; SOyl—Dark limestone; SOyld—Limestone, dolostone, and shale; Oyl—Argillaceous limestone and limestone",SEDIMENTARY ROCKS
94,|gp,"Phyllite and argillite, Grantley Harbor Fault Zone",Lower Paleozoic,SP,67,,SEDIMENTARY ROCKS
95,Dsyl,Limestone of the Seward Peninsula,Lower Devonian and (or) Silurian,SP,67,,SEDIMENTARY ROCKS
96,Soyl,Dark limestone,Silurian and Upper Ordovician,SP,67,,SEDIMENTARY ROCKS
97,Soyld,"Limestone, dolostone, and shale",Silurian and Ordovician,SP,67,,SEDIMENTARY ROCKS
98,Oyl,Argillaceous limestone and limestone,Middle and Lower Ordovician,SP,68,,SEDIMENTARY ROCKS
99,Jag,Bokan Mountain peralkaline granite and syenite,Middle Jurassic,SE,103,,INTRUSIVE ROCKS
100,JDmc,"Mystic structural complex, undivided",Jurassic to Devonian,SW,37,,SEDIMENTARY ROCKS
101,JDoc,Igneous rocks (Angayucham),Jurassic to Devonian,"NE, NR, SW, WC",30,,SEDIMENTARY ROCKS
102,Jegr,Intermediate to mafic plutonic rocks,Early Jurassic,EC;SC;SW,104,Jg—Plutons of the Yukon-Tanana Upland; Jhg—Plutonic rocks of Hidden terrane; Jegd—Granodiorite of Hagemeister Island,INTRUSIVE ROCKS
103,Jg,Plutons of the Yukon-Tanana Upland,Early Jurassic,EC,104,,INTRUSIVE ROCKS
104,Jhg,Plutonic rocks of Hidden terrane,Early Jurassic,SC,104,,INTRUSIVE ROCKS
105,Jegd,Granodiorite of Hagemeister Island,Early Jurassic,SW,104,,INTRUSIVE ROCKS
106,Jk,Graywacke of Kulukak Bay of Hoare and Coonrad (1978),Upper to Middle Jurassic,SW,39,,SEDIMENTARY ROCKS
107,Jlmgr,Plutonic rocks,Late and Middle Jurassic,SC;SW;WC;SE;SP,100;102-103,"Jtr—Trondhjemite; Jise—Granitic rocks of southeast Alaska; Jgr—Jurassic phase, Alaska-Aleutian Range batholith, undifferentiated; Jit—Spruce Creek tonalite",INTRUSIVE ROCKS
108,Jtr,Trondhjemite,Jurassic,"SC, SW, WC",100,,INTRUSIVE ROCKS
109,Jise,Granitic rocks of southeast Alaska,Jurassic,SE,100,,INTRUSIVE ROCKS
110,Jgr,"Jurassic phase, Alaska-Aleutian Range batholith, undifferentiated",Jurassic,"SC, SW",102,,INTRUSIVE ROCKS
111,Jit,Spruce Creek tonalite,Middle Jurassic,SP,103,,INTRUSIVE ROCKS
112,JMct,Cherty tuff and breccia (Angayucham),Jurassic? to Mississippian,WC,31,,SEDIMENTARY ROCKS
113,JMps,"Clastic and carbonate rocks, Porcupine River region",Jurassic to Mississippian,EC;NE,39,"JMpu—Younger strata of the Porcupine River sequence of Brosge and Reiser (1969), undivided; JMsu—Strangle Woman Creek sequence of Brosgé and Reiser (1969), undivided",SEDIMENTARY ROCKS
114,Jmpu,"Younger strata of the Porcupine River sequence of Brosge and Reiser (1969), undivided",Jurassic to Mississippian,"EC, NE",39,,SEDIMENTARY ROCKS
115,Jmsu,"Strangle Woman Creek sequence of Brosgé and Reiser (1969), undivided",Jurassic to Mississippian,EC,39,,SEDIMENTARY ROCKS
116,JPk,Kakhonak Complex and Tlikakila complex of Carlson and Wallace (1983),"Jurassic, Triassic, and older?","SC, SW",138,,TECTONIC ASSEMBLAGES AND MÉLANGE
117,JPs,Calcareous and metabasaltic schist and phyllite (Togiak- Tikchik Complex),Early Jurassic to Permian,SW,134,,TECTONIC ASSEMBLAGES AND MÉLANGE
118,J*e,"Etivluk Group, undivided",Middle Jurassic to Pennsylvanian,NR,40,J^o—Otuk Formation; ^*eg—Siksikpuk Formation and Imnaitchiak Chert,SEDIMENTARY ROCKS
119,J^o,Otuk Formation,Middle Jurassic to Triassic,NR,40,,SEDIMENTARY ROCKS
120,^*eg,Siksikpuk Formation and Imnaitchiak Chert,Triassic to Pennsylvanian,NR,41,,SEDIMENTARY ROCKS
121,J|c,"Chulitna sequence, undivided",Jurassic to upper Paleozoic,SC,36-37;46,"J^ct—Crystal tuff, argillite, chert, graywacke, and limestone; J^rb—Red and brown sedimentary rocks and basalt; ^lb—Limestone and basalt sequence; ^|vs—Volcanic and sedimentary rocks; ^rs—Red beds",SEDIMENTARY ROCKS
122,J^ct,"Crystal tuff, argillite, chert, graywacke, and limestone",Upper Jurassic to Upper Triassic?,SC,36,,SEDIMENTARY ROCKS
123,J^rb,Red and brown sedimentary rocks and basalt,Lower Jurassic and Upper Triassic,SC,36,,SEDIMENTARY ROCKS
124,^lb,Limestone and basalt sequence,"Upper Triassic, Norian",SC,37,,SEDIMENTARY ROCKS
125,^|vs,Volcanic and sedimentary rocks,Lower Triassic to upper Paleozoic,SC,37,,SEDIMENTARY ROCKS
126,^rs,Red beds,"Triassic, Norian and older?",SC,46,,SEDIMENTARY ROCKS
127,J|s,Northern Alaska sedimentary rocks,Middle Jurassic to Carboniferous,NR,41,,SEDIMENTARY ROCKS
128,Jsct,Shelikof and Chinitna Formations and Tuxedni Group,Middle Jurassic,AP;SC,39-40,Jsc—Shelikof and Chinitna Formations; Jt—Tuxedni Group,SEDIMENTARY ROCKS
129,Jsc,Shelikof and Chinitna Formations,"Middle Jurassic, Callovian","AP, SC",39,,SEDIMENTARY ROCKS
130,Jt,Tuxedni Group,Middle Jurassic,"AP, SC",40,,SEDIMENTARY ROCKS
131,Jtk,Talkeetna Formation,Early Jurassic,"AP, SC",84,,VOLCANIC ROCKS
132,J^kp,Limestone and volcanic rocks of the Kenai Peninsula,"Early Jurassic and Late Triassic, Norian",SC,44;85,^pg—Port Graham formation of Kelley (1980); J^pf—Pogibshi formation of Kelley (1980),SEDIMENTARY ROCKS
133,^pg,Port Graham formation of Kelley (1980),"Upper Triassic, Norian",SC,44,,SEDIMENTARY ROCKS
134,J^pf,Pogibshi formation of Kelley (1980),Early Jurassic and Late Triassic?,SC,85,,VOLCANIC ROCKS
135,J^mv,Tatina River volcanics of Bundtzen and others (1997a) (Mystic structural complex),Jurassic and Triassic,WC;SC,37-38,"J^mv—Tatina River volcanics of Bundtzen and others (1997a) and similar mafic volcanic rocks; J^v—Tatina River volcanics of Bundtzen and others (1997a), gabbro and diorite",SEDIMENTARY ROCKS
136,J^mv,Tatina River volcanics of Bundtzen and others (1997a) and similar mafic volcanic rocks,Jurassic and Triassic,WC,37,,SEDIMENTARY ROCKS
137,J^v,"Tatina River volcanics of Bundtzen and others (1997a), gabbro and diorite",Jurassic and Triassic,"SC, WC",38,,SEDIMENTARY ROCKS
138,J^os,Newenham ophiolite complex,Jurassic and Triassic,SW,138,,TECTONIC ASSEMBLAGES AND MÉLANGE
139,J^sch,Blueschist of southern Alaska,Early Jurassic to Triassic,"SC, SW",112,,METAMORPHIC ROCKS
140,J^sr,Spiculitic rocks,Lower Jurassic and Upper Triassic,SC;WC,42,J^mc—McCarthy Formation; ^sl—Spiculite and sandy limestone,SEDIMENTARY ROCKS
141,J^mc,McCarthy Formation,Lower Jurassic and Upper Triassic,SC,42,,SEDIMENTARY ROCKS
142,^sl,Spiculite and sandy limestone,"Upper Triassic, Norian",WC,42,,SEDIMENTARY ROCKS
143,JZu,"Mafic and ultramafic rocks in central, western, and northern Alaska",Jurassic to late Proterozoic,NW;NE;NW;WC;EC;CN,101;105-106;108,"J^ob—Ophiolite of the Brooks Range; J|tu—Ultramafic complexes of western Alaska; }|yo—Peridotite of dismembered ophiolite of the Yukon- Tanana region; ^c—Carbonatite; ^|ig—Gabbro and diabase; |<mi—Mafic igneous rocks, central and northeast Alaska",INTRUSIVE ROCKS
144,J^ob,Ophiolite of the Brooks Range,Jurassic to Triassic?,NW,101,,INTRUSIVE ROCKS
145,J|tu,Ultramafic complexes of western Alaska,Jurassic or older,"NE, NW, WC",101,,INTRUSIVE ROCKS
146,}|yo,Peridotite of dismembered ophiolite of the Yukon- Tanana region,"Mesozoic, Triassic? or older",EC,105,,INTRUSIVE ROCKS
147,^c,Carbonatite,Late Triassic,CN,105,,INTRUSIVE ROCKS
148,^|ig,Gabbro and diabase,Triassic or late Paleozoic,CN,106,,INTRUSIVE ROCKS
149,|<mi,"Mafic igneous rocks, central and northeast Alaska",Early Paleozoic and (or) late Proterozoic,"CN, NE",108,,INTRUSIVE ROCKS
150,Kcca,Coquina and calcarenite,Lower Cretaceous,SW;SE;AP;EC;NR;SC,32-33,Kqcs—Quartz-carbonate sandstone and pebbly mudstone; Kcm—Calcareous mudstone; Khnl—Herendeen Formation and similar units,SEDIMENTARY ROCKS
151,Kqcs,Quartz-carbonate sandstone and pebbly mudstone,"Lower Cretaceous, Aptian to Valanginian",SW,32,,SEDIMENTARY ROCKS
152,Kcm,Calcareous mudstone,Lower Cretaceous,SE,33,,SEDIMENTARY ROCKS
153,Khnl,Herendeen Formation and similar units,Lower Cretaceous,"AP, EC, NR, SC, SW",33,,SEDIMENTARY ROCKS
154,Kcgc,Calcareous graywacke and conglomerate,"Lower Cretaceous, Albian to Aptian","SW, WC",26,,SEDIMENTARY ROCKS
155,Kchf,Chugach accretionary complex,Cretaceous,SC;SE;SW,17-18;21,"Kaf—Chugach flysch; Kafv—Volcanic rocks of Chugach accretionary complex; Ksg—Sitka Graywacke, undivided",SEDIMENTARY ROCKS
156,Kaf,Chugach flysch,Upper Cretaceous,"SC, SE, SW",17,,SEDIMENTARY ROCKS
157,Kafv,Volcanic rocks of Chugach accretionary complex,Upper Cretaceous,"SC, SE",18,,SEDIMENTARY ROCKS
158,Ksg,"Sitka Graywacke, undivided",Cretaceous,SE,21,,SEDIMENTARY ROCKS
159,Kcvg,"Calcareous graywacke and mudstone, volcanic graywacke and conglomerate",Lower Upper or upper Lower Cretaceous,WC,23,,SEDIMENTARY ROCKS
160,KDt,"Togiak-Tikchik Complex, undivided",Mesozoic to Devonian,SW,133,,TECTONIC ASSEMBLAGES AND MÉLANGE
161,Keg,Granodiorite and other plutonic rocks,"Early Cretaceous, Aptian to Hauterivian","SC, SE, WC",98,,INTRUSIVE ROCKS
162,Kfy,Flysch,Upper and Lower? Cretaceous,SC,23,,SEDIMENTARY ROCKS
163,Khs,Rocks of Hammond River shear zone of Till and others (2008a),Cretaceous,SP,110,,METAMORPHIC ROCKS
164,Kipc,"Mafic igneous-clast conglomerate, sandstone, and mudstone",Lower Cretaceous,WC,26,,SEDIMENTARY ROCKS
165,KJab,Andesite and basalt,Early Cretaceous and Jurassic,NW;SW;WC,83-84,KJiv—Andesitic volcanic rocks; Jab—Andesite and basalt,VOLCANIC ROCKS
166,Kjiv,Andesitic volcanic rocks,Early Cretaceous and Late Jurassic?,"NW, SW, WC",83,,VOLCANIC ROCKS
167,Jab,Andesite and basalt,Jurassic,SW,84,,VOLCANIC ROCKS
168,KJgn,Gravina-Nuzotin unit,Lower Cretaceous and Upper Jurassic,"SC, SE, SW",28,KJgv—Volcanic rocks of the Gravina-Nutzotin belt,SEDIMENTARY ROCKS
169,KJgv,Volcanic rocks of the Gravina-Nutzotin belt,Lower Cretaceous or Upper Jurassic?,"SC, SE",28,,SEDIMENTARY ROCKS
170,KJgu,Plutonic rocks and dikes,Cretaceous to Jurassic,EC;SC;SP;SW;WC,96;99,"Kgu—Plutonic rocks and dikes, granite to diorite; KJg—Quartz monzodiorite",INTRUSIVE ROCKS
171,Kgu,"Plutonic rocks and dikes, granite to diorite",Cretaceous?,"EC, SC, SP, SW, WC",96,,INTRUSIVE ROCKS
172,KJg,Quartz monzodiorite,Cretaceous to Jurassic,"SC, SW",99,,INTRUSIVE ROCKS
173,KJs,Fine-grained sedimentary and metasedimentary rocks,Cretaceous or Jurassic,EC,22,,SEDIMENTARY ROCKS
174,KJse,Saint Elias suite of Gordey and Makepeace (2003) and similar rocks,Early Cretaceous and Late Jurassic,"SC, SE",99,,INTRUSIVE ROCKS
175,KJsnk,"Staniukovich and Naknek Formations, Kotsina Conglomerate, and similar rocks of southern Alaska","Lower Cretaceous to Jurassic, Pliensbachian",AP;SC;EC,35,"Kst—Staniukovich Formation; Jnk—Naknek Formation and Kotsina Conglomerate; Js—Marine sedimentary rocks of the Wrangell Mountains, undivided",SEDIMENTARY ROCKS
176,Kst,Staniukovich Formation,Lower Cretaceous,AP,35,,SEDIMENTARY ROCKS
177,Jnk,Naknek Formation and Kotsina Conglomerate,"Upper Jurassic, Tithonian to Oxfordian","AP, SC",35,,SEDIMENTARY ROCKS
178,Js,"Marine sedimentary rocks of the Wrangell Mountains, undivided","Jurassic, Kimmeridgian to Pliensbachian",EC,35,,SEDIMENTARY ROCKS
179,KJvp,Volcano-plutonic complexes,Cretaceous and Jurassic,SW;WC,83,Kmvi—Mafic to intermediate volcano-plutonic complexes; KJv—Highly altered volcanic rocks in southwest Alaska,VOLCANIC ROCKS
180,Kmvi,Mafic to intermediate volcano-plutonic complexes,Late Cretaceous,"SW, WC",83,,VOLCANIC ROCKS
181,KJv,Highly altered volcanic rocks in southwest Alaska,Cretaceous or Jurassic,SW,83,,VOLCANIC ROCKS
182,KJyg,"Yakutat Group, undivided",Lower Cretaceous and Upper Jurassic?,"SC, SE",22,,SEDIMENTARY ROCKS
183,KJyh,Graywacke of the Yenlo Hills,Cretaceous? and uppermost Jurassic,SC,22,,SEDIMENTARY ROCKS
184,Kk,"Kuskokwim Group, undivided",Upper Cretaceous to upper Lower Cretaceous,SW,20,,SEDIMENTARY ROCKS
185,Kke,Kemik Sandstone,"Lower Cretaceous, Hauterivian",NR,27,,SEDIMENTARY ROCKS
186,Kkg,"Flysch and quartzite, Kandik Group and equivalents","Lower Cretaceous, Albian to Valanginian",EC,27,,SEDIMENTARY ROCKS
187,Klgr,Intermediate granitic rocks,Late Cretaceous,"SC, SP, SW, WC",96,Klqm—Quartz monzonite and monzonite,INTRUSIVE ROCKS
188,Klqm,Quartz monzonite and monzonite,Late Cretaceous,"SC, SW",96,,INTRUSIVE ROCKS
189,Kmgr,Granitic rocks of central and southeast Alaska,"Cretaceous, Coniacian to Albian","EC, SC, SE, WC",97,"Kmqm—Quartz monzonite, monzonite, and syenite; Ksy—Syenitic rocks",INTRUSIVE ROCKS
190,Kmqm,"Quartz monzonite, monzonite, and syenite","Cretaceous, Coniacian to Albian","CN, EC,
SE, SP, WC",97,,INTRUSIVE ROCKS
191,Ksy,Syenitic rocks,"Cretaceous, Coniacian to Albian","NW, WC",97,,INTRUSIVE ROCKS
192,Kmig,Migmatite and metaplutonic rocks,Cretaceous,"EC, NE, SC, SE",110,,METAMORPHIC ROCKS
